Date of Birth,Gender,Location,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,Duration,Age,Age Group,Engagement Metrics Numeric,Usage Frequency Numeric,Purchase History Numeric
1953-06-03,Male,Rebeccachester,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3,365 days,71,61+,1,0.0,1
1978-07-08,Male,Mcphersonview,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7,365 days,46,46-55,1,0.0,1
1994-12-06,Female,Youngfort,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8,365 days,30,26-35,0,0.0,0
1964-12-22,Female,Feliciashire,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7,365 days,60,61+,2,0.0,1
1961-06-04,Male,Port Deborah,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1,365 days,63,61+,0,1.0,2
1954-09-19,Female,Lake Johnathan,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2,365 days,70,61+,0,,0
2003-02-09,Male,Carlsonchester,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10,365 days,21,18-25,1,1.0,2
1946-10-04,Male,West Matthewborough,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6,365 days,78,61+,1,0.0,1
1950-12-24,Female,Karenshire,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4.0,8,365 days,74,61+,1,1.0,1
1963-06-16,Male,West Stephen,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6,365 days,61,61+,2,1.0,2
1997-11-28,Female,Cynthiaport,Monthly,Visa,Manual,Regular,Books,Documentary,Smart TV,Low,4.0,1,365 days,27,26-35,0,0.0,0
1952-09-08,Female,Hillberg,Annual,Amex,Manual,Regular,Books,Horror,Smart TV,Low,4.4,6,365 days,72,61+,0,0.0,0
1981-11-18,Female,Michaeltown,Monthly,Amex,Auto-renew,Regular,Clothing,Action,Tablet,Medium,4.7,0,365 days,43,36-45,1,0.0,2
1989-08-17,Female,Harrisport,Annual,Amex,Auto-renew,Frequent,Books,Horror,Tablet,Medium,3.8,0,365 days,35,36-45,1,1.0,0
2003-04-07,Male,East Janetfurt,Annual,Visa,Manual,Regular,Clothing,Sci-Fi,Smartphone,Medium,4.9,10,365 days,21,18-25,1,0.0,2
1993-03-19,Female,Port Jeremyfurt,Annual,Amex,Manual,Occasional,Books,Horror,Smartphone,Low,5.0,0,365 days,31,26-35,0,,0
1952-05-02,Female,Quinnberg,Annual,Visa,Auto-renew,Regular,Clothing,Romance,Smartphone,Low,3.3,3,365 days,72,61+,0,0.0,2
1978-11-16,Female,New Brandon,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,High,3.9,6,365 days,46,46-55,2,0.0,2
1945-08-30,Female,South Michaelhaven,Annual,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Low,4.4,6,365 days,79,61+,0,,0
1979-09-29,Female,Port Derekton,Annual,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,4.6,2,365 days,45,46-55,1,,0
1956-07-05,Male,New Matthewbury,Monthly,Visa,Manual,Regular,Electronics,Action,Tablet,Low,4.2,6,365 days,68,61+,0,0.0,1
1967-02-17,Male,Lake Gloriaport,Monthly,Amex,Manual,Regular,Clothing,Sci-Fi,Smart TV,Low,3.9,2,365 days,57,56-60,0,0.0,2
1996-02-13,Female,North Audrey,Monthly,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,High,4.3,7,365 days,28,26-35,2,0.0,0
1968-06-19,Male,West Raymond,Annual,Mastercard,Manual,Regular,Electronics,Drama,Smart TV,High,4.8,0,365 days,56,56-60,2,0.0,1
1994-10-02,Female,North Jacob,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,High,4.6,4,365 days,30,26-35,2,1.0,1
1986-09-22,Female,Shafferland,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smart TV,High,3.8,7,365 days,38,36-45,2,,1
2005-03-29,Male,West Richardbury,Monthly,Visa,Manual,Occasional,Electronics,Horror,Smart TV,High,3.6,0,365 days,19,18-25,2,,1
1976-11-05,Male,New John,Monthly,Visa,Auto-renew,Occasional,Clothing,Comedy,Smart TV,Medium,3.0,9,365 days,48,46-55,1,,2
1967-07-05,Female,North Marymouth,Annual,Mastercard,Auto-renew,Regular,Clothing,Comedy,Smartphone,High,4.8,7,365 days,57,56-60,2,0.0,2
1976-09-16,Female,West James,Monthly,Amex,Manual,Regular,Books,Action,Smart TV,Medium,4.8,9,365 days,48,46-55,1,0.0,0
1955-09-19,Male,Randallton,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Low,4.6,10,365 days,69,61+,0,1.0,2
1967-10-14,Female,Port Kimberly,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Tablet,Low,4.2,9,365 days,57,56-60,0,,1
1995-03-28,Male,Lisaton,Monthly,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,Low,4.3,4,365 days,29,26-35,0,1.0,2
2002-07-23,Female,New Jenniferport,Annual,Mastercard,Auto-renew,Regular,Electronics,Horror,Smartphone,Low,4.5,10,365 days,22,18-25,0,0.0,1
1933-05-11,Male,New Jason,Annual,Mastercard,Manual,Occasional,Electronics,Action,Smartphone,Low,3.8,6,365 days,91,61+,0,,1
1991-07-03,Female,Clineshire,Monthly,Mastercard,Manual,Occasional,Books,Comedy,Tablet,High,4.8,10,365 days,33,26-35,2,,0
1944-10-26,Female,Jacquelinefurt,Monthly,Visa,Auto-renew,Frequent,Books,Horror,Smart TV,Medium,4.1,6,365 days,80,61+,1,1.0,0
1975-07-23,Female,North Jerry,Annual,Amex,Manual,Frequent,Clothing,Romance,Tablet,Medium,4.5,7,365 days,49,46-55,1,1.0,2
1955-07-06,Female,Port Benjaminfort,Monthly,Visa,Auto-renew,Occasional,Electronics,Documentary,Tablet,High,3.2,8,365 days,69,61+,2,,1
1981-03-19,Female,Port Danielle,Annual,Visa,Auto-renew,Occasional,Clothing,Documentary,Tablet,Low,4.2,5,365 days,43,36-45,0,,2
1975-03-07,Male,Port Jillianbury,Monthly,Visa,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Medium,4.6,8,365 days,49,46-55,1,1.0,2
1962-06-14,Female,Sherrybury,Monthly,Amex,Auto-renew,Occasional,Electronics,Comedy,Tablet,High,4.4,2,365 days,62,61+,2,,1
2001-01-09,Female,Port Charleschester,Annual,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,Medium,3.6,9,365 days,23,18-25,1,0.0,2
1945-08-27,Male,New Brandy,Annual,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Medium,4.8,6,365 days,79,61+,1,1.0,2
1943-08-20,Male,East Aaronburgh,Monthly,Amex,Manual,Frequent,Books,Horror,Smartphone,Low,5.0,6,365 days,81,61+,0,1.0,0
1993-10-31,Male,Jamesview,Annual,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Smart TV,Medium,3.9,5,365 days,31,26-35,1,0.0,2
1953-04-13,Female,Davisfort,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,Low,3.6,7,365 days,71,61+,0,1.0,0
1985-03-15,Male,West Tanya,Monthly,Mastercard,Manual,Occasional,Electronics,Romance,Smartphone,Low,4.3,2,365 days,39,36-45,0,,1
1950-07-27,Female,South Kylestad,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Horror,Smart TV,Low,3.1,8,365 days,74,61+,0,,1
1965-07-23,Female,East Marcusberg,Annual,Visa,Manual,Occasional,Books,Sci-Fi,Tablet,High,4.5,9,365 days,59,56-60,2,,0
1990-12-21,Male,New Nicoleport,Monthly,Visa,Manual,Occasional,Electronics,Drama,Smart TV,High,3.9,8,365 days,34,26-35,2,,1
1976-11-05,Male,North Stephen,Annual,Amex,Manual,Frequent,Clothing,Horror,Smartphone,High,3.9,0,365 days,48,46-55,2,1.0,2
1942-03-21,Male,Lake Wendyland,Monthly,Mastercard,Manual,Occasional,Clothing,Drama,Smartphone,Low,4.9,8,365 days,82,61+,0,,2
1964-10-26,Male,Michaelfort,Annual,Amex,Manual,Occasional,Electronics,Comedy,Smart TV,High,3.6,5,365 days,60,61+,2,,1
1964-02-19,Female,Lake Samantha,Annual,Visa,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.9,3,365 days,60,61+,0,1.0,2
1973-11-09,Female,East Charles,Annual,Mastercard,Auto-renew,Regular,Electronics,Sci-Fi,Smartphone,High,3.6,6,365 days,51,46-55,2,0.0,1
1953-03-27,Female,Bowmanland,Monthly,Visa,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Medium,3.0,2,365 days,71,61+,1,,1
1961-05-19,Male,New Thomasville,Monthly,Amex,Auto-renew,Occasional,Books,Drama,Tablet,Low,4.5,10,365 days,63,61+,0,,0
